oare_id,transliteration,translation
"CCT 3, 5a",um-ma A-šur-i-dí-ma a-na A-šur-na-da qí-bi-ma 10 ma-na KÙ.BABBAR tù-šé-bi-lam,From Aššur-idī to Aššur-nāda: You have sent me 10 minas of silver.
"CCT 3, 5a",ŠÀ.BA 2 GÚ 10 ma-na ku-nu-ku 16 0.5 GÍN.TA KÙ.BABBAR.BI-šu 7 0.83333 ma-na 2 0.66666 GÍN,Specification: 2 talents 10 minas under seal at the rate 16 0.5 to 1 — in silver: 7 0.83333 minas 2 0.66666 shekels.
"CCT 3, 5a",4 TÚG šu-ru-tum 5 TÚG ku-ta-nu 0.5 ma-na KÙ.BABBAR it-bu-lu,4 black textiles and 5 kutānu-textiles cost 0.5 mina of silver.
"CCT 3, 5a",7 GÍN i-na ma-ša-rì-im,It diminished 7 shekels during the washing.
"CCT 3, 5a",im-tí 17 GÍN KÙ.BABBAR ší-im 1 ANŠE,17 shekels of silver: the price of one donkey.
"CCT 3, 5a",5 GÍN ú-nu-sú,5 shekels: its harness.
"CCT 3, 5a",0.33333 ma-na KÙ.BABBAR ší-im 2 TÚG šu-ru-en ša A-šur-ta-ak-lá-ku e-BA.ZI-ku-ni,0.33333 mina of silver: the price of 2 black textiles that Aššur-taklāku left with you.
"CCT 3, 5a",um-ma a-ta-ma i-na 1 0.33333 ma-na KÙ.BABBAR ša En-na-Be-lúm na-aš-ú-ni: lé-qé,You said : Take that out of the 1 0.33333 mina of silver that Ennam-Bēlum is bringing.
"CCT 3, 5a",KÙ.BABBAR ú-la al-qé i-na KÙ.BABBAR a-nim al-qé,"I did not take the silver then, so I have taken it out of this silver."
"CCT 3, 5a",12 ma-na 5 GÍN AN.NA-ak qá-tim 15 GÍN.TA 0.66666 ma-na 8 0.33333 GÍN KÙ.BABBAR.BI-šu,12 minas 5 shekels of tin for expenses at the rate 15 to 1 — in silver: 0.66666 mina 8 0.33333 shekels of silver.
"CCT 3, 5a",mi-ma a-nim A-šur-ta-ak-lá-ku i-ra-di-a-kum,Aššur-taklāku brings all this to you.
"CCT 3, 5a",gám-ra-kum,has been spent for you.
"CCT 4, 1a",um-ma A-šùr-i-dí-ma a-na A-šùr-na-da qí-bi4-ma ki-ma šé-ep dIM ra-pí-dim É-tí: ra-hi-iš ù a-ta ta-tá-lá-ak a-pu-tum,From Aššur-idī to Aššur-nāda: As if by the foot of divine Adad in full rush my house is devastated! But as for you— you have gone away!
"CCT 4, 1a",a-pu-tum a-wa-at: i-lí,"Please, please heed the words of the gods!"
"CCT 4, 1a",ú-šú-ur a-na ni-ki-iš-tim ša DINGIR: i-ši-ra-ku-ni,Do not renounce the decision that the god has drawn up for you.
"CCT 4, 1a",lá ta-tù-ar ta-tù-ar-ma ta-ha-li-iq AN.NA ša i-na tup-pi-im lá-pu-ta- ku-ni i-na ni-kà-ši le-eš-ku-nu,"If you renounce it, you will perish! The tin for which I was booked in the tablet, let them claim that at the accounting."
"CCT 4, 1a",ù a-ta 6 ma-na 8 GÍN AN.NA ni-a-am i-na ni-kà-ši šu-ku-un,Then you too may claim 6 minas 8 shekels of tin belonging to us at the accounting.
"CCT 4, 1a",2 ma-na 13 0.33333 GÍN KÙ.BABBAR,Zuzu owes me 2 minas 13 0.33333 shekels of silver.
"CCT 4, 1a",Zu-zu ha-bu-la-am 1 ma-na KÙ.BABBAR iš-tí dUTU-ba-ni DUMU Puzur4-Ištar,1 mina of silver is owed by Šamaš-bāni son of Puzur-Ištar.
"CCT 4, 1a",0.5 ma-na 5 GÍN KUG iš-tí dEN.LÍL-ba-ni,0.5 mina 5 shekels of silver is owed by Illil-bāni.
"CCT 4, 1a",1 ma-na KÙ.BABBAR ša ih-bu-lá-ku-ni 0.5 ma-na ša A-šùr-dUTU-ši ub-lá-ku-ni AN.NA-ak-šu 8 ma-na ù 6 ma-na AN.NA ša a-na ILLAT ta-ša-ku-nu le-qé-ma ŠUNIGIN 14 ma-na 8 GÍN AN.NA a-na šé-er KÙ.BABBAR i-dí-ma i-na a-li-ki-im ku-nu-uk-ma i-na e-ra-bi4-ka-ma ki-ma,"The 1 mina of silver which he borrowed from you, the 0.5 mina which Aššur-šamši has brought to you—in tin it was 8 minas—plus the 6 minas of tin that you will claim for the enterprise— take that, and then add in all 14 minas 8 shekels of tin to the silver, seal it for the transportation, and send it to me as a greeting as soon as you arrive."
"CCT 4, 1a",šu-ul-mi-kà šé-bi4-lá-am šu-ma a-hi a-ta li-bi4,"If you are truly my brother, do not make me angry."
"CCT 4, 1a",lá tù-lá-ma-an šu-ma dUTU-ba-ni lá-šu 1 ma-na KUG me-eh-ra-tim i-dí-ma šé-bi4-lá-am,"If Šamaš-bāni is absent, then make available a corresponding amount of 1 mina of silver and send it to me."
"CCT 4, 1a",a-pu-tum qa-ti a-na ni-kà-ši i-ta-di,"Please, let my share be deposited at the time of the accounting."
"CCT 4, 1b",um-ma A-šur-i-dí-ma a-na I-lí-SUKKAL ù A-šur-ta-ak-lá-ku qí-bi4-ma a-na I-lí-ŠU.GAN qí-bi4-ma ma-aš-ki ša pá-tim a-dí-na-kum,From Aššur-idī to Ili-sukkal and Aššur-taklāku: to Ili-sukkal: I gave you some woollen fleeces.
"CCT 4, 1b",um-ma a-ta-ma a-na ru-ba-im a-qí-aš,You said: I shall give them as a gift to the king.
"CCT 4, 1b",ù 2 ma-na hu-ša-e uṣ-ba-ku-um um-ma a-ta-ma pá-šu-ra-am SIG5 ša 10 GÍN KÙ.BABBAR a-da-na-ku-um,I furthermore added for you 2 minas of scrap metal. You said: I shall give you good quality retail goods worth 10 shekels of silver in return.
"CCT 4, 1b",šu-ma a-hi a-ta pá-šu-ra-am SIG5 a-na A-šur-ta-ak-lá-ku,"My dear brother, give the good quality retail goods to Aššur-taklāku."
"CCT 4, 1b",di-in a-na A-šur-ta- ak-lá-ku qí-bi4-ma 3 ma-na 12 GÍN AN.NA a-na ILLAT šu-ku-un,To Aššur-taklāku: Deliver 3 minas 12 shekels of tin to the enterprise.
"CCT 4, 1b",ší-im URUDU ša a-na A-mu-re-e áš-qí-lu i-na tup-pi-im iš-tí tap-pá-e-a lá-pí-it,"The price of the copper, which I paid to the Amorites, has been booked in the tablet together with my partners."
"CCT 4, 1b",I-lí-ŠU.GAN DUMU Na-ni ša-ba-at-ma pá-šu-ra-am pá-ni-a-ma ša-di-in,Seize Ili-sukkal son of Nanni and make him hand over the good quality retail goods at once.
"CCT 5, 6a",kà-ra-am: mu-ùh-ra-ma iš-tí kà-ri-im e-na-na-tim er-ša-nim-ma a-na KÙ.BABBAR 1 ma-na-um 3 GÍN la-dí a,"Appeal to the colony authorities and ask for clemency for me from the the colony, so that for the silver I may deposit 3 shekels per mina."
"CCT 5, 6a",šu-ma la i-ma-gu5-ru-ku-nu sà-li-a-ma ra-mi-šál a-we-el la-zi-iz,"If they do not agree with you, then implore them that I may stand only for half a share of a man."
"CCT 5, 6a",a-tù-nu la ti-de8-a-a a-i-a-tum ma-aš-kà-na-tù-a,Are you not aware which are my deposits?
"CCT 5, 6a",e-la ma-la ma-aš-kà-tám la-aš-ku-nam,Should I make another deposit on top of that?
"CCT 5, 6a",37 ma-na ni-kà-sí áš-qúl gi-mì-lam i-šé-ri-a šu-ku-na,I have paid 37 minas on the account! Do me this favour.
"CCT 5, 6a",ih-da-ma a-na mì-šál a-we-el la-zi-iz a-ni- tum la a-ni-tum tí-ir-ta-ak- nu i-pá-ni-e-ma,Take care to have me stand only for half a share of a man. Send me word whether this is so or not as soon as possible.
"CCT 5, 6a",li-li-kam iš-tí KÙ.BABBAR-pí-a 4 0.5-ma-na ša Ku-ru-ub-Ištar ba-áb-tám e-zi-ba-ku-nu-tí-ni,Together with my other silver I left 4 0.5 minas belonging to Kurub-Ištar as an outstanding claim with you.
"CCT 5, 6a",ša-áš-qí-la-ma šé-bi-la-nim,Have it paid and send it to me.
Cole 8,um-ma A-šur-i-dí-ma a-na A-šur-na-da qí-bi4-ma 2 ma-na LÁ 0.5 GÍN KÙ.BABBAR Ištar-pí-lá-ah,From Aššur-idī to Aššur-nāda: You sent me 2 minas less 0.5 shekel of silver with Ištar-pilah.
Cole 8,tù-šé-bi4-lam 1 ma-na 0.5 GÍN i-na ša Šu-Ištar al-qé,I took 1 mina 0.5 shekel out of what belongs to Šu-Ištar.
Cole 8,ŠUNIGIN 3 ma-na KÙ.BABBAR ŠÀ.BA 7 0.5 GÍN ni-is-ha-tim áš-qúl iš-tù ša-du-ú-tum ga-am-ra-at-ni 1 GÍN KÙ.BABBAR a-pu-ul,"In all: 3 minas of silver. Thereof I paid 7 0.5 shekels as import duty; since the transport tariff had been spent, I paid the balance of 1 shekel of silver."
Cole 8,ší-tí KÙ.BABBAR-pì-kà 2 0.83333 ma-na 1 0.5 GÍN,The rest of your silver amounts to 2 0.83333 minas 1 0.5 shekel.
Cole 8,8 GÍN KÙ.BABBAR iš-tí DUMU A-bu-SILIM ù tap-pá-i-šu,I borrowed 8 shekels of silver from the son of Abu-šalim and his partner.
Cole 8,al-qé 2 0.66666 ma-na 1 0.25 GÍN KÙ.BABBAR ší-im TÚG.HI.A ša še-ep En-nam-Be-lim i-na,"I still had a claim against you of 2 0.66666 minas 1 0.25 shekels of silver, the proceeds from the sale of the textiles transported by Ennam-Bēlum."
Cole 8,li-bi4-kà a-ší-tám,You said: The silver has been taken.
Cole 8,um-ma a-ta-ma KÙ.BABBAR lá-qé am-ší-ma lá ak-nu-kà-šu KÙ.BABBAR i-qá-tí-a lá-šu-ma,"But I forgot to seal it, and since I have no silver available to me I have taken it."
Cole 8,al-qé 16 GÍN 15 ŠE KÙ.BABBAR i-lu-qú-tim ša še-ep DUMU Ir-nu-id,I also still had a claim of 16 shekels 15 grains of silver from the goods transported by the son of Irnuid.
Cole 8,a-ší-tám ŠUNIGIN 2 0.83333 ma-na 7 0.33333 GÍN ša-he-er-ma ší-tí KÙ.BABBAR-pì-kà 2 0.16666 GÍN gám-ra-kum,"In all: 2 0.83333 minas 7 0.33333 shekels have been deducted, so the rest of your silver is 2 0.16666 shekels. It has been spent for you."
KUG 27,um-ma A-šur-i-dí-ma a-na a-na A-šur-na-da qí-bi4-ma 3 0.66666 ma-na KÙ.BABBAR ti-zi-ba-am 1 ma-na 0.5 GÍN KÙ.BABBAR ša Šu-Ištar 2 ma-na LÁ 0.5 GÍN KÙ.BABBAR Ištar-pí-lá-ah tù-šé-bi4-lam 1 0.33333 ma-na KÙ.BABBAR ṣa-ru-pá-am Dan-A-šur ub-lam ŠUNIGIN 8 ma-na,From Aššur-idī to Aššur-nāda: You left me 3 0.66666 minas of silver; 1 mina 0.5 shekel of silver belongs to Šu-Ištar; 2 minas less 0.5 shekel of silver you sent to me with Ištar-pilah; Dān-Aššur brought me 1 0.33333 mina of refined silver— in all: 8 minas.
KUG 27,ŠÀ.BA lu-qú-ut 2 ma-na 16 0.66666 GÍN LÁ 7 0.5 ŠE A-šur-na-da DUMU Ir-nu-id ú-šé-ši-a-kum 2 0.25 GÍN ig-ri sá-ri-dim a-ha-ma a-dí-šu-um,"Thereof I sent off to you goods worth 2 minas 16 0.66666 shekels less 7 0.5 grains with Aššur-nāda son of Irnuid; I further gave him 2 0.25 shekels, the wages of a donkey-driver."
KUG 27,16 0.5 GÍN KÙ.BABBAR a-na Šu-Sú-en 4 0.5 GÍN a-na Ás-qú-di-a a-dí-šu-nu-ti ra-ku-sú,16 0.5 shekels of silver to Šu-Suen and 4 0.5 shekels to Asqudia— I gave to them; they are bound by contract.
KUG 27,šu-ma i-na li-bi4-kà lá i-šu-ú 16 GÍN.TA AN.NA i-na-pu-lu-ni- kum,"If they have no claims on you, they must repay you in tin at the rate 16:1."
KUG 27,ù iš-tí A-šur-SIPA ma-lá ta-ší-ta-ni 16 GÍN AN.NA,Also Aššur-rēʾi has been bound by contract 16:1 in tin for your remaining claim on him.
KUG 27,ra-ku-us sa-ba-sú-ma ša-áṣ- qí-il-šu,Seize him to have him pay.
KUG 27,iš-tù ší-im URUDU ù 1 GÍN 15 ŠE KÙ.BABBAR ša i-na li-bi-šu tí-šu-ú ša-qí-lu 0.33333 m a 3 GÍN 22 0.5 ŠE KÙ.BABBAR,"After the price of the copper and 1 shekel 15 grains of silver, which he owed to you, had been paid, I paid as balance to Aššur-rēʾi 23 shekels 22 0.5 grains of silver."
